,index,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,YearRemodAdd,YearBuilt,OverallCond,1stFlrSF,OverallQual,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,LotArea,MSSubClass,2ndFlrSF,PavedDrive,HeatingQC,SaleCondition,Street,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,CentralAir,Condition2,HouseStyle,RoofStyle,RoofMatl,ExterQual,ExterCond,Foundation,Heating,BldgType,Electrical,LotFrontage,GarageYrBlt,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,BsmtFullBath,BsmtHalfBath,GarageCars,GarageArea,FireplaceQu,BsmtFinType2,BsmtExposure,GarageType,BsmtCond,BsmtQual,BsmtFinType1,GarageFinish,Utilities,GarageCond,MasVnrType,SaleType,Functional,KitchenQual,Exterior2nd,Exterior1st,GarageQual,MSZoning
0,1,0,1710,2,1,3,1,8,0,2003,2003,5,856,7,0,61,0,0,0,0,0,2,2008,8450,60,854,Y,Ex,Normal,Pave,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Y,Norm,2Story,Gable,CompShg,Gd,TA,PConc,GasA,1Fam,SBrkr,65.0,2003.0,196.0,706.0,0.0,150.0,856.0,1.0,0.0,2.0,548.0,Gd,Unf,No,Attchd,TA,Gd,GLQ,RFn,AllPub,TA,BrkFace,WD,Typ,Gd,VinylSd,VinylSd,TA,RL
1,2,0,1262,2,0,3,1,6,1,1976,1976,8,1262,6,298,0,0,0,0,0,0,5,2007,9600,20,0,Y,Ex,Normal,Pave,Reg,Lvl,FR2,Gtl,Veenker,Feedr,Y,Norm,1Story,Gable,CompShg,TA,TA,CBlock,GasA,1Fam,SBrkr,80.0,1976.0,0.0,978.0,0.0,284.0,1262.0,0.0,1.0,2.0,460.0,TA,Unf,Gd,Attchd,TA,Gd,ALQ,RFn,AllPub,TA,None,WD,Typ,TA,MetalSd,MetalSd,TA,RL
2,3,0,1786,2,1,3,1,6,1,2002,2001,5,920,7,0,42,0,0,0,0,0,9,2008,11250,60,866,Y,Ex,Normal,Pave,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Y,Norm,2Story,Gable,CompShg,Gd,TA,PConc,GasA,1Fam,SBrkr,68.0,2001.0,162.0,486.0,0.0,434.0,920.0,1.0,0.0,2.0,608.0,TA,Unf,Mn,Attchd,TA,Gd,GLQ,RFn,AllPub,TA,BrkFace,WD,Typ,Gd,VinylSd,VinylSd,TA,RL
3,4,0,1717,1,0,3,1,7,1,1970,1915,5,961,7,0,35,272,0,0,0,0,2,2006,9550,70,756,Y,Gd,Abnorml,Pave,IR1,Lvl,Corner,Gtl,Crawfor,Norm,Y,Norm,2Story,Gable,CompShg,TA,TA,BrkTil,GasA,1Fam,SBrkr,60.0,1998.0,0.0,216.0,0.0,540.0,756.0,1.0,0.0,3.0,642.0,Gd,Unf,No,Detchd,Gd,TA,ALQ,Unf,AllPub,TA,None,WD,Typ,Gd,Wd Shng,Wd Sdng,TA,RL
4,5,0,2198,2,1,4,1,9,1,2000,2000,5,1145,8,192,84,0,0,0,0,0,12,2008,14260,60,1053,Y,Ex,Normal,Pave,IR1,Lvl,FR2,Gtl,NoRidge,Norm,Y,Norm,2Story,Gable,CompShg,Gd,TA,PConc,GasA,1Fam,SBrkr,84.0,2000.0,350.0,655.0,0.0,490.0,1145.0,1.0,0.0,3.0,836.0,TA,Unf,Av,Attchd,TA,Gd,GLQ,RFn,AllPub,TA,BrkFace,WD,Typ,Gd,VinylSd,VinylSd,TA,RL
5,6,0,1362,1,1,1,1,5,0,1995,1993,5,796,5,40,30,0,320,0,0,700,10,2009,14115,50,566,Y,Ex,Normal,Pave,IR1,Lvl,Inside,Gtl,Mitchel,Norm,Y,Norm,1.5Fin,Gable,CompShg,TA,TA,Wood,GasA,1Fam,SBrkr,85.0,1993.0,0.0,732.0,0.0,64.0,796.0,1.0,0.0,2.0,480.0,Gd,Unf,No,Attchd,TA,Gd,GLQ,Unf,AllPub,TA,None,WD,Typ,TA,VinylSd,VinylSd,TA,RL
6,7,0,1694,2,0,3,1,7,1,2005,2004,5,1694,8,255,57,0,0,0,0,0,8,2007,10084,20,0,Y,Ex,Normal,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Y,Norm,1Story,Gable,CompShg,Gd,TA,PConc,GasA,1Fam,SBrkr,75.0,2004.0,186.0,1369.0,0.0,317.0,1686.0,1.0,0.0,2.0,636.0,Gd,Unf,Av,Attchd,TA,Ex,GLQ,RFn,AllPub,TA,Stone,WD,Typ,Gd,VinylSd,VinylSd,TA,RL
7,8,0,2090,2,1,3,1,7,2,1973,1973,6,1107,7,235,204,228,0,0,0,350,11,2009,10382,60,983,Y,Ex,Normal,Pave,IR1,Lvl,Corner,Gtl,NWAmes,PosN,Y,Norm,2Story,Gable,CompShg,TA,TA,CBlock,GasA,1Fam,SBrkr,93.0259780883789,1973.0,240.0,859.0,32.0,216.0,1107.0,1.0,0.0,2.0,484.0,TA,BLQ,Mn,Attchd,TA,Gd,ALQ,RFn,AllPub,TA,Stone,WD,Typ,TA,HdBoard,HdBoard,TA,RL
8,9,0,1774,2,0,2,2,8,2,1950,1931,5,1022,7,90,0,205,0,0,0,0,4,2008,6120,50,752,Y,Gd,Abnorml,Pave,Reg,Lvl,Inside,Gtl,OldTown,Artery,Y,Norm,1.5Fin,Gable,CompShg,TA,TA,BrkTil,GasA,1Fam,FuseF,51.0,1931.0,0.0,0.0,0.0,952.0,952.0,0.0,0.0,2.0,468.0,TA,Unf,No,Detchd,TA,TA,Unf,Unf,AllPub,TA,None,WD,Min1,TA,Wd Shng,BrkFace,Fa,RM
9,10,0,1077,1,0,2,2,5,2,1950,1939,6,1077,5,0,4,0,0,0,0,0,1,2008,7420,190,0,Y,Ex,Normal,Pave,Reg,Lvl,Corner,Gtl,BrkSide,Artery,Y,Artery,1.5Unf,Gable,CompShg,TA,TA,BrkTil,GasA,2fmCon,SBrkr,50.0,1939.0,0.0,851.0,0.0,140.0,991.0,1.0,0.0,1.0,205.0,TA,Unf,No,Attchd,TA,TA,GLQ,RFn,AllPub,TA,None,WD,Typ,TA,MetalSd,MetalSd,Gd,RL
10,11,0,1040,1,0,3,1,5,0,1965,1965,5,1040,5,0,0,0,0,0,0,0,2,2008,11200,20,0,Y,Ex,Normal,Pave,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Y,Norm,1Story,Hip,CompShg,TA,TA,CBlock,GasA,1Fam,SBrkr,70.0,1965.0,0.0,906.0,0.0,134.0,1040.0,1.0,0.0,1.0,384.0,Gd,Unf,No,Detchd,TA,TA,Rec,Unf,AllPub,TA,None,WD,Typ,TA,HdBoard,HdBoard,TA,RL
11,12,0,2324,3,0,4,1,11,2,2006,2005,5,1182,9,147,21,0,0,0,0,0,7,2006,11924,60,1142,Y,Ex,Partial,Pave,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Y,Norm,2Story,Hip,CompShg,Ex,TA,PConc,GasA,1Fam,SBrkr,85.0,2005.0,286.0,998.0,0.0,177.0,1175.0,1.0,0.0,3.0,736.0,Gd,Unf,No,BuiltIn,TA,Ex,GLQ,Fin,AllPub,TA,Stone,New,Typ,Ex,Wd Shng,WdShing,TA,RL
12,13,0,912,1,0,2,1,4,0,1962,1962,6,912,5,140,0,0,0,176,0,0,9,2008,12968,20,0,Y,TA,Normal,Pave,IR2,Lvl,Inside,Gtl,Sawyer,Norm,Y,Norm,1Story,Hip,CompShg,TA,TA,CBlock,GasA,1Fam,SBrkr,80.69969177246094,1962.0,0.0,737.0,0.0,175.0,912.0,1.0,0.0,1.0,352.0,Gd,Unf,No,Detchd,TA,TA,ALQ,Unf,AllPub,TA,None,WD,Typ,TA,Plywood,HdBoard,TA,RL
13,14,0,1494,2,0,3,1,7,1,2007,2006,5,1494,7,160,33,0,0,0,0,0,8,2007,10652,20,0,Y,Ex,Partial,Pave,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Y,Norm,1Story,Gable,CompShg,Gd,TA,PConc,GasA,1Fam,SBrkr,91.0,2006.0,306.0,0.0,0.0,1494.0,1494.0,0.0,0.0,3.0,840.0,Gd,Unf,Av,Attchd,TA,Gd,Unf,RFn,AllPub,TA,Stone,New,Typ,Gd,VinylSd,VinylSd,TA,RL
14,15,0,1253,1,1,2,1,5,1,1960,1960,5,1253,6,0,213,176,0,0,0,0,5,2008,10920,20,0,Y,TA,Normal,Pave,IR1,Lvl,Corner,Gtl,NAmes,Norm,Y,Norm,1Story,Hip,CompShg,TA,TA,CBlock,GasA,1Fam,SBrkr,85.84943389892578,1960.0,212.0,733.0,0.0,520.0,1253.0,1.0,0.0,1.0,352.0,Fa,Unf,No,Attchd,TA,TA,BLQ,RFn,AllPub,TA,BrkFace,WD,Typ,TA,MetalSd,MetalSd,TA,RL
