,index,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,YearRemodAdd,YearBuilt,OverallCond,1stFlrSF,OverallQual,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,LotArea,MSSubClass,2ndFlrSF,PavedDrive,HeatingQC,SaleCondition,Street,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,CentralAir,Condition2,HouseStyle,RoofStyle,RoofMatl,ExterQual,ExterCond,Foundation,Heating,BldgType,Electrical,LotFrontage,GarageYrBlt,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,BsmtFullBath,BsmtHalfBath,GarageCars,GarageArea,FireplaceQu,BsmtFinType2,BsmtExposure,GarageType,BsmtCond,BsmtQual,BsmtFinType1,GarageFinish,Utilities,GarageCond,MasVnrType,SaleType,Functional,KitchenQual,Exterior2nd,Exterior1st,GarageQual,MSZoning
1460,1461,0,896,1,0,2,1,5,0,1961,1961,6,896,5,140,0,0,0,120,0,0,6,2010,11622,20,0,Y,TA,Normal,Pave,Reg,Lvl,Inside,Gtl,NAmes,Feedr,Y,Norm,1Story,Gable,CompShg,TA,TA,CBlock,GasA,1Fam,SBrkr,80.0,1961.0,0.0,468.0,144.0,270.0,882.0,0.0,0.0,1.0,730.0,Gd,LwQ,No,Attchd,TA,TA,Rec,Unf,AllPub,TA,None,WD,Typ,TA,VinylSd,VinylSd,TA,RH
1461,1462,0,1329,1,1,3,1,6,0,1958,1958,6,1329,6,393,36,0,0,0,0,12500,6,2010,14267,20,0,Y,TA,Normal,Pave,IR1,Lvl,Corner,Gtl,NAmes,Norm,Y,Norm,1Story,Hip,CompShg,TA,TA,CBlock,GasA,1Fam,SBrkr,81.0,1958.0,108.0,923.0,0.0,406.0,1329.0,0.0,0.0,1.0,312.0,Gd,Unf,No,Attchd,TA,TA,ALQ,Unf,AllPub,TA,BrkFace,WD,Typ,Gd,Wd Sdng,Wd Sdng,TA,RL
1462,1463,0,1629,2,1,3,1,6,1,1998,1997,5,928,5,212,34,0,0,0,0,0,3,2010,13830,60,701,Y,Gd,Normal,Pave,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Y,Norm,2Story,Gable,CompShg,TA,TA,PConc,GasA,1Fam,SBrkr,74.0,1997.0,0.0,791.0,0.0,137.0,928.0,0.0,0.0,2.0,482.0,TA,Unf,No,Attchd,TA,Gd,GLQ,Fin,AllPub,TA,None,WD,Typ,TA,VinylSd,VinylSd,TA,RL
1463,1464,0,1604,2,1,3,1,7,1,1998,1998,6,926,6,360,36,0,0,0,0,0,6,2010,9978,60,678,Y,Ex,Normal,Pave,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Y,Norm,2Story,Gable,CompShg,TA,TA,PConc,GasA,1Fam,SBrkr,78.0,1998.0,20.0,602.0,0.0,324.0,926.0,0.0,0.0,2.0,470.0,Gd,Unf,No,Attchd,TA,TA,GLQ,Fin,AllPub,TA,BrkFace,WD,Typ,Gd,VinylSd,VinylSd,TA,RL
1464,1465,0,1280,2,0,2,1,5,0,1992,1992,5,1280,8,0,82,0,0,144,0,0,1,2010,5005,120,0,Y,Ex,Normal,Pave,IR1,HLS,Inside,Gtl,StoneBr,Norm,Y,Norm,1Story,Gable,CompShg,Gd,TA,PConc,GasA,TwnhsE,SBrkr,43.0,1992.0,0.0,263.0,0.0,1017.0,1280.0,0.0,0.0,2.0,506.0,Gd,Unf,No,Attchd,TA,Gd,ALQ,RFn,AllPub,TA,None,WD,Typ,Gd,HdBoard,HdBoard,TA,RL
1465,1466,0,1655,2,1,3,1,7,1,1994,1993,5,763,6,157,84,0,0,0,0,0,4,2010,10000,60,892,Y,Gd,Normal,Pave,IR1,Lvl,Corner,Gtl,Gilbert,Norm,Y,Norm,2Story,Gable,CompShg,TA,TA,PConc,GasA,1Fam,SBrkr,75.0,1993.0,0.0,0.0,0.0,763.0,763.0,0.0,0.0,2.0,440.0,TA,Unf,No,Attchd,TA,Gd,Unf,Fin,AllPub,TA,None,WD,Typ,TA,HdBoard,HdBoard,TA,RL
1466,1467,0,1187,2,0,3,1,6,0,2007,1992,7,1187,6,483,21,0,0,0,0,500,3,2010,7980,20,0,Y,Ex,Normal,Pave,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Y,Norm,1Story,Gable,CompShg,TA,Gd,PConc,GasA,1Fam,SBrkr,68.80850982666016,1992.0,0.0,935.0,0.0,233.0,1168.0,1.0,0.0,2.0,420.0,Gd,Unf,No,Attchd,TA,Gd,ALQ,Fin,AllPub,TA,None,WD,Typ,TA,HdBoard,HdBoard,TA,RL
1467,1468,0,1465,2,1,3,1,7,1,1998,1998,5,789,6,0,75,0,0,0,0,0,5,2010,8402,60,676,Y,Gd,Normal,Pave,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Y,Norm,2Story,Gable,CompShg,TA,TA,PConc,GasA,1Fam,SBrkr,63.0,1998.0,0.0,0.0,0.0,789.0,789.0,0.0,0.0,2.0,393.0,Gd,Unf,No,Attchd,TA,Gd,Unf,Fin,AllPub,TA,None,WD,Typ,TA,VinylSd,VinylSd,TA,RL
1468,1469,0,1341,1,1,2,1,5,1,1990,1990,5,1341,7,192,0,0,0,0,0,0,2,2010,10176,20,0,Y,Gd,Normal,Pave,Reg,Lvl,Inside,Gtl,Gilbert,Norm,Y,Norm,1Story,Gable,CompShg,TA,TA,PConc,GasA,1Fam,SBrkr,85.0,1990.0,0.0,637.0,0.0,663.0,1300.0,1.0,0.0,2.0,506.0,Po,Unf,Gd,Attchd,TA,Gd,GLQ,Unf,AllPub,TA,None,WD,Typ,Gd,HdBoard,HdBoard,TA,RL
1469,1470,0,882,1,0,2,1,4,0,1970,1970,5,882,4,240,0,0,0,0,0,0,4,2010,8400,20,0,Y,TA,Normal,Pave,Reg,Lvl,Corner,Gtl,NAmes,Norm,Y,Norm,1Story,Gable,CompShg,TA,TA,CBlock,GasA,1Fam,SBrkr,70.0,1970.0,0.0,804.0,78.0,0.0,882.0,1.0,0.0,2.0,525.0,Gd,Rec,No,Attchd,TA,TA,ALQ,Fin,AllPub,TA,None,WD,Typ,TA,Plywood,Plywood,TA,RL
